Job Title,Company,Employer Email,Salary,Avg Salary,Lower Salary Range,Upper Salary Range,Job Highlights,Job Description,Career Level,Qualification,Years of Experience,Job Type,Company Website,Job Link,Job Functions,Industry,Date Posted,jobtick_avgsalary,jobtick_SQL,jobtick_Excel,jobtick_dashboard,jobtick_Python,jobtick_engineerjobs,jobtick_analystjobs,jobtick_scientistjobs
Business Analyst (Data Analysis),EC Healthcare,NULL,Not Specified,#VALUE!,NULL,NULL,"['Develop and built segmentation platform', 'Conduct commercial and financial analysis', 'Ensure a valid data analyzing process']","['Job Descriptions:', 'Develop strategic KPIs with the objective of controlling and enhancing the business procedures and customer experience', 'Conduct commercial (Sales and Sales related KPIs) and financial analysis (PL)', 'Assist the Project manager and work with the team to design, manage analytics projects and solution for generating useful business insights, correlation of brands and customer spending behavior', 'Develop and built segmentation platform for effective filtering of targeted customer list for enabling data driven marketing. Perform evaluation of segmentation used in different marketing channels', 'Work closely with various business units for user requirements collection and projects implementation', 'Support and align efforts to drive business process analysis meeting to support the Business Unit', 'Manage business expectations by developing a communication process to keep others up-to-date on project results; as well as performance tracking, as daily, weekly and monthly basis', 'Identify, create and facilitate process design changes by conducting business and systems process analysis and design at a complex level', 'Work on regular business performance reports for useful business insights', 'Ensure a valid data analyzing process\xa0including data extraction, manipulation, processing, storage, archival and more', 'Requirements:', 'Degree in Data Science, Business, Information Technology or related discipline', 'At least 2-years in-depth experience in data warehouse and BI platform, Tableau preferred', 'Experience in data analytics design and segmentation', 'Knowledge in SQL and Python coding or correlation calculation platform', 'Proficiency in relational databases and data integration tools', 'Good problem-solving skills', 'Ability to work independently under pressure', 'Self-motivated, work proactive and willing to learn new technology', 'Good presentation, interpersonal and communication skills', 'Excellent command of both spoken and written English and Chinese', 'Experienced in working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases is preferred.', 'Experienced in managing and developing data integration, ETL with data warehouse, Google Analytics, Google Tag Manager and BI platform is preferred.', 'Capability to maintain ETL processes is a plus']",Entry,Not Specified,-1,"Full Time, Permanent",Not Specified,/hk/en/job/business-analyst-data-analysis-100003008838232,"Information Technology (IT), DBA, E-commerce, Product Management / Business Analyst, Data Scientist",Health & Beauty Care,10-22-2021,NULL,1,1,1,1,NULL,1,NULL
BI Specialist / Data Analyst,Excel Technology International (Hong Kong) Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Implement BI / data warehouse platform', 'Experience in BI reporting and data analytics', 'Fresh graduates are welcome']","['Responsibilities:', 'Carry out studies on new requirements, system design and enhancement of BI reporting tools for financial/banking applications.', 'Perform development, testing, implementation support and maintenance on BI and data warehouse platform.', 'Requirements:', 'Bachelors degree in Computer Science, Information Technology or equivalent.', 'Experience in BI implementation and data warehouse related projects.', 'Knowledge in RPA or Advanced Analytics tools is a plus.', 'Strong analytic skills, self-motivated and able to work under pressure.', 'Good interpersonal skills and able to work in a team.', 'Good command in written and spoken English and Chinese.', 'Fresh graduates with technical skills will also be considered.', 'For application, please send your ', 'detailed resume with current and expected salary', '\xa0to Human Resources Manager, Excel Technology International (HK) Limited, 5th Floor, 663 Kings Road, North Point, Hong Kong or click Apply Now.', 'Data collected from applicants will be kept confidential and only be used for recruitment purpose.']",Entry,Degree,-1,"Full Time, Permanent",http://www.excel.com.hk,/hk/en/job/bi-specialist-data-analyst-100003008835381,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), DBA, Data Scientist",Information Technology,10-22-2021,NULL,NULL,1,NULL,NULL,NULL,1,NULL
Data Scientist,DreamsAI Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Open Working Culture', 'Fast-growing AI Company', 'Chance to Big data / AI / sizable database proje']","['Job Description:', 'Our team comprises of data science technologists, coming together to develop innovative Dreams-AI products that deliver incremental value on the Gentera platform or on-going consulting projects. As part of this role, you will be a creative thinker, utilizing data, machine learning, and software development skills to craft high-impact best-in-class solutions that grow the business.', 'Key', 'Responsibilities', ':', 'Create statistical and machine learning models and integrate them into Dreams-AI applications', '\u2028', 'Collect and engineer data assets to assist in model development', '\u2028', 'Implement the event forcasting models and pricing engines in Python', '\u2028', 'Create automatic tests to ensure model and pricing engine accuracy', '\u2028', 'Collaborate closely with product, developers, QAs and delivery leads to move projects from ideation to deployment', '\u2028', 'Test that data flows work as expected and that models are well integrated in larger business context', '\u2028', 'Research new approaches to optimise the performance of all models and data science processes', '\u2028', 'Coach and support more junior data scientists within the team', 'Requirements', '2yr experience in Data Science/ Analytics', 'Degree holder in Mathematics or equivalent experience in machine learning', 'Interested in using new and latest Technologies/ Data Analytics Tools', 'Strong experience Python, R or Matlab, C++ similar languages', 'From Linear Models to Deep Learning Course', 'Experience in utilising Unity Engine for visualisation', 'Experience in Generic Neural Network Model implementation', 'Research or work-related experience in Big Data is advantageous', 'Fluent in English and Cantonese', 'Application', 'The appointment will be on renewable contract terms with a competitive salary and performance-linked variable pay. Fringe benefits include year-end bonus, paid leave, medical and dental benefits, insurance coverage and contribution to MPF. The incumbent will normally work a five-day week.\xa0', 'Application will be open until the position is filled. Only short-listed candidates will be notified. DreamsAI reserves the right not to fill the position.', 'DreamsAI is an Equal Opportunities Employer. Personal data provided by job applicants will be used exclusively for recruitment only.']",Entry,Degree,-1,Full Time,Not Specified,/hk/en/job/data-scientist-100003008833268,"Information Technology (IT), Software Development, Others, Data Scientist",Information Technology,10-21-2021,NULL,NULL,NULL,NULL,1,NULL,NULL,1
"Officer, Data Office",China CITIC Bank International Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Analyze data for trends and patterns', 'Develop sanity check programs', 'Identify data exceptions and irregularities']","['Responsibilities:', 'Assist line manager to analyze data for trends and patterns, and interpret data with a clear objective in mind', 'Develop sanity check programs to identify data exceptions and irregularities', 'Develop procedures related to program development and version control using data analytic tool', 'Support the annual DPS drills / declaration on the upload of PCO unclaimed account lists and extraction of survey questions', 'Support projects / initiatives assigned by line manager', 'Requirements:', 'Degree holder in Quantitative disciplines (Computer Sciences/ Engineering/ Statistics/ Economics/ Business Analysis)', 'Basic understanding in developing analytic solutions/models including the use of both structured and unstructured data sources', 'Awareness of both quality and risk, especially compliance-related risk issues', 'Working experience in data analytics solution is an advantage', 'Good command of both written and spoken English and Chinese', 'For more details about career opportunities with the Bank, please visit our website\xa0', 'http://www.cncbinternational.com/careers/en/index.jsp', '. Please apply with full resume stating current and expected salaries.', '\xa0Personal data collected will be used for recruitment related purposes only. Applicants not invited for interview within 6 weeks may consider their applications unsuccessful. However, applicants may be considered for other suitable positions within the Group for a period of not more than 2 years. Personal data will be destroyed at any time after 3 months.', '\xa0China CITIC Bank International is committed to being an equal opportunities employer and intends to provide a work environment free of unlawful discrimination or harassment. All employment decisions will be made in a non-discriminatory manner.']",Entry,Not Specified,-1,"Full Time, Permanent",http://www.cncbinternational.com,/hk/en/job/officer-data-office-100003008836755,"Information Technology (IT), DBA, Others, Data Scientist",Banking,10-22-2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Data Engineer,Ampd Energy Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Rapidly Growing Startup Environment', 'Accept Remote Working if necessary', 'Building & Maintaining a variety of Data Pipeline']","['Summary of the Position', 'Ampd Energy has grown by leaps and bounds over the past 24 months, and is now seeking a technical lead for the software team. Ampd Energy manages a fleet of large batteries to amplify that power available at construction sites to reduce or eliminate the need for diesel generators. Our software platform provides monitoring data to both customers and field engineers to ensure that our products work smoothly. The data engineer will be responsible for our data models and pipelines that support this platform and enable us to build new tools to optimize product delivery and provide valuable insights to our customers and partners.', 'Knowledge and Experience', 'Required:', 'Building and maintaining a variety of data pipelines', 'Evaluating and choosing database and data service technologies to fit business needs', 'Writing well documented and maintainable code (BDD, TDD)', 'Using Google Cloud Platforms and Amazon Web Services tools', 'Participating in code reviews and working with other engineers', 'Deploying and monitoring the services you build', 'Practicing Agile or Scrum', 'We are open to candidates of different skill levels and will consider the title of Senior Data Engineer for those with more advanced capabilities.', 'Bonus:', 'Using real-time streaming or pub/sub technologies', 'Writing automated functional tests', 'Running continuous integration or continuous deployment', 'Strong understanding of relational databases', 'Building or supporting dashboards and business intelligence tools', 'Experience in data science and machine learning', 'Python, Java, Scala, Go, JS', 'Influx, Grafana, and related technologies', 'Skills and Values', 'Comfortable with direct and honest communication and feedback', 'Proactive problem solver', 'Comfortable with english communication on technical subjects', 'Humble and solution focused approach to problem solving', 'Organized and detail oriented', 'Comfortable making decisions and taking responsibility', 'Responsibilities', 'Maintain various data pipelines from our fleet of devices and from ad-hoc projects', 'Data model/schema design, from conceptualization, to solution design, implementation, to optimization', 'Ensure that data is available and useable for monitoring, visibility, and analytics/prediction models', 'Collaborate with our analysts and internal teams to improve data models to better serve business needs', 'Support our ability to deliver new data and analytics products to customers and partners', 'Benefits', 'Competitive salary', 'Full medical, dental & travel insurance coverage', 'Uber travel policy (for business travel & travel during out-of-regular-hours)', 'Location', 'Hong Kong physical office preferred', 'Other locations +/- 5 hours from GMT+8 seriously considered', 'Visa would be sponsored if necessary', 'How to apply', 'Please send your detailed resume in PDF format stating availability and expected remuneration.', 'All information provided will be treated in strict confidence and used solely for recruitment purposes. We regret that we are only able to notify short-listed candidates.', 'Ampd Energy is an equal opportunity employer. All candidates will be assessed on merit without regard to age, race, gender, sexual orientation, religion, nationality, marital status, political affiliation or any other factor protected by law.']",Middle,Non-Degree Tertiary,-1,"Full Time, Permanent",Not Specified,/hk/en/job/data-engineer-100003008836036,"Engineering, Others, Information Technology (IT), Software Development, Data Scientist",Engineering - Others,10-22-2021,NULL,NULL,NULL,NULL,1,1,NULL,NULL
Data Analyst,Cornerstone Global Partners,NULL,Not Specified,#VALUE!,NULL,NULL,"['4 years exp in analystics', 'exposure in virtual bank', 'attractive package & salary']","['A top tier Virtual Bank is hiring a Data Analyst in Hong Kong', 'Key responsibilities', 'Generate deep dive analysis on deposit, loans and payment products to support channel marketing, quality customer acquisition, customer engagement and health business growth.', 'Identify and develop exploratory metrics to try to find unknow insights and opportunities. Use leading metrics to predict product and business performance, and recommend tactics of business drivers', 'Perform Segmentation analysis (Cross sectional comparison of all people divided by some attribute) and Cohort analysis\xa0\xa0to compare similar groups of customers over periods of time', 'Support\xa0A/B testing\xa0\xa0compare similar groups over time, changing one thing and measure results ( focus on the critical steps and assumptions)', 'Watch out reporting metrics to keep business owners abreast of normal, managerial, day-to-day operations', 'Develop insights for business units, including management dashboards, regular reports, and ad-hoc analysis.', 'Understand and execute the systems and data points applicable to marketing and product, and to advise on areas for opportunity and collaboration in ingesting and tracking data.', 'Retrieve and collect unstructured and structured data sources to build up the customer 360 view perform data processing, cleansing and verification.', 'Requirements', 'Minimum 4 years in an analytics role in digital, product or marketing', 'Degree holder in Data Science, Information Technology, Statistics or other related disciplines', 'Familiar with big data platform including Data Lake, Hadoop, Spark, etc., have experiences of data development', 'Excellent skills on SQL and Tableau, with understanding of database structure, model design and segmentation techniques', 'Proficiency in Python and its application in data analysis', 'Being familiar with CRM and digital analytics tools (e.g. google analytics) would be an advantage', 'Ability to work independently and strategically, open to tackling new issues and sounding out new ideas', 'A proactive and can-do attitude', 'Excellent communication skills in English, Cantonese, and Mandarin']",Entry,Not Specified,-1,Contract,Not Specified,/hk/en/job/data-analyst-100003008829703,"Banking / Finance, Others, Information Technology (IT), Product Management / Business Analyst, Data Scientist",Human Resources Management/Consultancy,10-20-2021,NULL,1,1,1,1,NULL,1,NULL
Data Analyst (Ref. : DIT),Wilson Group Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Assist in data projects to fulfill business needs', 'Degree, exp in business intelligence, data science', 'Knowledge in data infrastructure and related areas']","['Responsibilities:', '-\xa0 \xa0Liaise with internal users and vendors for various projects activities and manage data', '\xa0 \xa0 projects', '\xa0timeline', '-\xa0 \xa0Drive data-driven culture, promote the effective use of data in the company', '-\xa0 \xa0Plan and build the company data platform (the platform supports functions', '\xa0 \xa0 and processes\xa0of i', 'nternal\xa0', 'parties and external clients)', '-', '\xa0 \xa0Perform statistical analysis and turn information into insights', '-\xa0 \xa0Define the data product requirements which fulfills the business needs', '-\xa0 \xa0Work with data engineers to build the data pipeline, data models and reporting tool', 'Requirements:', '-\xa0 \xa0Bachelor Degree in Computer Science / Information System / Statistics / Mathematics', '\xa0 \xa0 or\xa0related\xa0', 'disciplines', '-\xa0 \xa0Minimum 2 years working experience in business intelligence / data analytics /', '\xa0 \xa0 data\xa0', 'science\xa0with\xa0', 'knowledge of data pipeline and data infrastructure', '-\xa0 \xa0Familiar with SQL Server / MySQL / pgSQL, Azure product and service (Blob Storage /', '\xa0 \xa0 Data\xa0Catalog\xa0', '/', '\xa0Data Factory / Data Warehouse / Power BI / etc.)', '-\xa0 \xa0Possess knowledge in programming or scripting languages would be a definite', '\xa0 \xa0 advantage,\xa0such\xa0as\xa0', 'Python, R, HTML5, Java, Golang, etc.', '-\xa0 \xa0Interested in working in the latest technologies and highly competent with quantitative', '\xa0 \xa0 data\xa0analysis', '\xa0and utilizing data to drive decision-making', '-\xa0 \xa0Creative and proactive, detail-minded, logical, responsible, outgoing and able to', '\xa0 \xa0 work\xa0under\xa0', 'pressure', '\xa0with tight schedules', '-\xa0 \xa0Strong communication, presentation and analytical skills', '-\xa0 \xa0Good command of both spoken and written English and Chinese is a MUST', 'Interested candidates please send their applications with detailed resume to:', 'Head of Group Human Resources', 'Wilson Group Limited å¨¿¡(é¦¸¯)¬å', 'Room 2901, Tower 1, Metroplaza, Hing Fong Road, Kwai Chung, N.T.\xa0', 'All personal data collected will be kept in the strictest confidence and used for recruitment purpose only.\xa0', 'You are welcome to visit the following website of Wilson Group:', 'http://www.wilsongrouphk.com']",Entry,Not Specified,-1,"Full Time, Permanent",Not Specified,/hk/en/job/data-analyst-ref-%3A-dit-100003008826422,"Information Technology (IT), Software Development, Data Scientist",Mass Transportation,10-19-2021,NULL,1,NULL,1,1,NULL,1,NULL
Business Analyst,Cathay Pacific Airways Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Minimum 3 years of IT experience', 'Proficiency in data visualization tools', 'Travel Benefits, 5-day work, Medical Benefits']","['Reports to:\xa0', 'Analytics Manager', 'Department:', ' Digital (DGT)', 'Role Introduction', 'This position will be responsible to:', 'Generate actionable quantitative insight to support the data & insight driven culture in decision making processes', 'Proactively support business streams in applying and integrating the right set of metrics, analytics model and visualization into day-to-day processes', 'Enhance analytics power with new data, derived insight, tools and training with proper testing and requirement sets', 'Ensure quality & data governance policies and processes to uphold security, quality and value of the analytics assets.', 'Responsibilities', 'Provide analytics support services to various business partners.', 'Design with business streams to frame business questions, perform analysis, design visualization of results, and derive analytical models to meet business objectives', 'Develop complex BI solutions including reports, scorecards and dashboards, leveraging data processing and visualisation tools', 'Proactive in bring in new data & insight, support data model design and data definitions to ensure proper integration of internal and external sources', 'Manage enhancements on tools to advance the analytical power, including analytics requirement, testing, prepare training material and delivery', 'Train and facilitate business streams to conduct analysis to facilitate day-to-day decision making', 'Manage Data Quality by implementing quality metrics & regular monitoring, working on incidents to maintain accessibility and consistency of data as well as readiness of related analytics capabilities', 'Enforce data governance practices to uphold the value of the data access, within the company and external parties', 'Requirements', 'Tertiary education in Actuarial Science, Mathematics, Statistics, Information Management, Operations Research or related disciplines;', 'Minimum 3 years of working experience relating to data & analytics with a good understanding of at least one of the following business areas: Revenue management, Customer management, Service Delivery, Sales & Marketing or Finance management', 'Strong analytical abilities, numerate and familiar with statistical algorithms, ideally with exposure in developing optimization models', 'Expert in using analytics & query tools e.g. Alteryx and data modelling techniques', 'Proficiency in data visualization tools, ideally Qlikview, Qliksense, PowerBI', 'Proficiency in scripting languages e.g. Python, SQL, SAS', 'Team player with strong communication & interpersonal skills, able to share effectively across different business streams', 'Curious, meticulous, self-motivated and strong continuous improvement mindset', 'Working knowledge in managing vendors and suppliers and project management a plus', 'Application deadline: 03 November 2021', 'Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.', 'Please note that with effect from 1 December 2021, all employees must be vaccinated in order to access Cathay City and all other Cathay Group Company premises in Hong Kong. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.']",Entry,Not Specified,-1,"Full Time, Permanent",http://www.cathaypacific.com/careers,/hk/en/job/business-analyst-100003008828109,"Information Technology (IT), Product Management / Business Analyst, Others, E-commerce, Software Development",Freight Forwarding/Delivery/Shipping,10-20-2021,NULL,1,NULL,1,1,NULL,1,NULL
Solution Analyst  Data Integration and Data Governance,Cathay Pacific Airways Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Minimum 6 years of related IT experience', 'Software development lifecycle', 'Travel Benefits, 5-day work, Medical Benefits']","['Reports to:\xa0', 'Solution Lead / Senior Solution Lead', 'Department:', '\xa0Information Technology (IMT)', 'Role Introduction:', 'Solution Analyst is responsible for building reliable, secure and highly-scalable IT systems for complex business problems by understanding and translating user needs into business and technical requirements and collaborating with crucial stakeholders to design, develop, test, integrate and implement these solutions.', 'Key Responsibilities', 'Collaborate with business users, internal technology teams and external vendors to identify fit-for-purpose, reliable, secure and highly-scalable IT solutions to complex business problems', 'Analyze and translate user needs into business and technical requirements, design, develop and ensure smooth implementation through collaboration with business and IT stakeholders', 'Participate in Scrum activities as Subject Matter Expert to identify and understand business processes, available technology solutions and their configuration and management to provide seamless, integrated solutions', 'Contribute towards complete software development lifecycle of system implementation projects, including requirements elicitation and prioritization, systems design and development, test documentation and execution, implementation and operational support', 'Work independently during programme and project execution to ensure successful, on-time delivery by anticipating dependencies and impediments, prioritizing multiple stakeholders and tasks, making trade-offs between business needs and constraints and managing work time efficiently', 'Facilitate collaboration with cross-functional stakeholders through clear communication and documentation', 'Participate in change management efforts, including stakeholder process analysis, workshop facilitation, mass communications, training and presentations', 'Plan, prioritize and deliver systems enhancements and bug fixes', 'Provide Level 2 and 3 support, troubleshoot production systems and services', 'Develop proactive monitoring and diagnosis tools to ensure solution SLAs are maintained', 'Participate in vendor solution selections, make recommendations that align with business needs and companys technology roadmap, standards and practices', 'Support continuous improvement of standard corporate IT Practices', 'Keep abreast of latest trends in technology, industry and corresponding business domain', 'Collaborate with other IT domains to drive innovation', 'Requirements', 'Minimum 6 years of related IT experience across entire software development lifecycle for delivery of complex software solutions (less years of experience will be considered for junior position)', 'Bachelors (or equivalent education qualifications) in Computer Science, Computer Engineering, or related disciplines', 'Solid hands-on experience with systems integration using real-time message-based middleware and web services', 'Strong knowledge in security and compliance practices and technologies', 'Advanced expertise in software development methodologies  Design Thinking, Agile and DevOps is beneficial', 'Strong understanding of current technology concepts, trends and capabilities', 'Experience with tools and technologies (data integration/ETL, reporting, metadata management, data quality management etc.), preferably using INFORMATICA tools and technologies, Test Data management and Managed Files Transfer', 'Strong in database concepts and competence in SQL query and optimization', 'Strong understanding of data model and database structure to be able to perform data discovery from IT systems', 'Good understanding and skill in cloud components and services for development', 'Experience in metadata management tool and data governance; as well as knowledge management is beneficial', 'Well-developed analytical, problem-solving, and decision-making skills, leveraging both logic and creativity', 'Strong troubleshooting skills; ability to identify patterns and generate ideas', 'Well organized, thrive in a sense-of-urgency environment, leverage best practices, and most importantly, innovate through any problem with a can-do attitude', 'Experience in collaborating with multiple cross-functional and geographically dispersed teams', 'Ability to interact professionally with diverse groups of stakeholders', 'Excellent interpersonal and communication skills, strong verbal and written presentation skills', 'Application deadline: 04 November 2021', 'Personal & Application Information', 'Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.', 'Please note that with effect from 1 December 2021, all employees must be vaccinated in order to access Cathay City and all other Cathay Group Company premises in Hong Kong. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.']",Entry,Not Specified,-1,"Full Time, Permanent",http://www.cathaypacific.com/careers,/hk/en/job/solution-analyst-data-integration-and-data-governance-100003008832226,"Information Technology (IT), Application Specialist - Software, DBA, Others",Freight Forwarding/Delivery/Shipping,10-21-2021,NULL,1,1,NULL,NULL,NULL,1,NULL
"Senior Manager, Data",Hypebeast Hong Kong Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Digital businesses rely on data to strategise', 'Diverse exposure in working with different BU', 'International exposure with oversea team members']","['Hypebeast Ltd. started from a sneaker website founded by Kevin Ma in 2005 to a publicly listed media company in 2016. With a total reach of over 40.5M users across all platforms, The media group boasts a global readership across Asia Pacific, North America, Europe and more, with the flagship platform available in five languages. The group has expanded its publishing brands to a wider scope in recent years, encompassing Hypebeast and its multiple content distribution platforms, e-commerce store HBX and agency HYPEMAKER. Hypebeast Ltd. has been featured in Forbes Asias 200 Best Under A Billion in 2020.', 'This position leads the Data Team. The person is responsible for building and overseeing the team that develops and maintains the highest levels of data competency, accuracy standards and reporting capacity. The lead develops the strategy for using data to get deep insights to find a competitive edge; envisions how data and metrics support the businesss strategy and operations; and promotes best practices in data management.', 'Responsibilities:', 'Manages overall data architecture, tech stack, and infrastructure.', 'Manages, develops, prioritises and recommends initiatives to improve and build upon the data architecture to support the business.', 'Ensures consistency of process and usage, and champions best practices in data management.', 'Oversees data accuracy processes, goals and assessment for projects.', 'Ensures resolution of data conflicts between systems and within systems data universe.', 'Works with internal stakeholders to develop strategies for leveraging data to gain deep insights into Hypebeast and youth culture.', 'Develop data products based on identified needs for commercial applications.', 'Manages and develops the staffing of the unit; champions team collaboration; monitors and develops career paths within the unit.', 'Ensures that the knowledge base is up-to-date. Cross-pollinate approaches and findings within the organisation.', 'Requirements:', '4+ years in running Data Analytics and engineering teams.', 'University degree educated in Statistics, Data Science, Data Analytics or any related disciplines.', 'Possess strong sense of ownership, adaptive to change, organised, and possesses an experimental knowledge-seeking mindset to deal with ambiguity.', 'Able to work with stakeholders to elicit needs and working solutions.', 'Working knowledge of Data operations, project management, and governance.', 'Working knowledge of GA and GTM.', 'Familiar with data warehouses (BigQuery, MySQL, PostGreSQL), data infrastructure (GCP), and data tools for ETL (Airflow, Stitch), visualisation, modelling.', 'Must know SQL, Tableau (or an equivalent visualisation tool), Python.', 'More experienced candidates could be considered for as higher title.', 'If you think youve got what it takes, please provide your cover letter, CV, and expected salary.', 'This position is based and located in Hong Kong. Candidate must be eligible to work in Hong Kong.', 'Personal data collected is for recruitment purpose only.']",Senior,Not Specified,-1,Full Time,Not Specified,/hk/en/job/senior-manager-data-100003008832969,"Professional Services, Business Analysis / Data Analysis, E-commerce, Product Management / Business Analyst, Information Technology (IT), Data Scientist",Media/Publishing/Printing,10-21-2021,NULL,1,NULL,1,1,NULL,NULL,NULL
